剧名,分类,标签(逗号分隔),画质,集数,状态,年份,演员,百度链接,百度提取码,夸克链接,夸克提取码,简介
这一秒过火,热播剧,"民国,虐恋,2026",1080P,更01集,更新中,2026,张凌赫/王楚然/付辛博,https://pan.baidu.com/s/1Ry2fn-FQxVq4oBVAfmSLLQ,rdet,,,改编自匪我思存小说 民国虐恋剧
百花杀,热播剧,"古装,权谋,2025",1080P,更21集,更新中,2025,孟子义/何与,,,,,古装权谋剧
鬼吹灯之精绝古城,经典剧,"探险,盗墓,悬疑",1080P,21集全,已完结,2016,靳东/陈乔恩,,,,,经典盗墓探险剧
盗墓笔记,经典剧,"探险,盗墓,悬疑",1080P,12集全,已完结,2015,李易峰/杨洋,,,,,经典盗墓探险剧
